,PlayerName,Club,Nationality,Goals
0,Erling Haaland,Manchester City,Norway,8
1,Alexander Isak,Newcastle United,Sweden,6
2,Son Heung-Min,Tottenham Hotspur,South Korea,6
3,Jarrod Bowen,West Ham United,England,5
4,Hwang Hee-Chan,Wolverhampton Wanderers,South Korea,5
5,Mohamed Salah,Liverpool,Egypt,5
6,Odsonne Édouard,Crystal Palace,France,4
7,Evan Ferguson,Brighton & Hove Albion,Ireland,4
8,Bryan Mbeumo,Brentford,Cameroon,4
9,Bukayo Saka,Arsenal,England,4
