,Team,Total_wins
0,Arsenal,6
1,Manchester City,6
2,Tottenham Hotspur,6
3,Aston Villa,5
4,Brighton & Hove Albion,5
5,Liverpool,5
6,Manchester United,4
7,Newcastle United,4
8,West Ham United,4
9,Chelsea,3
