,Team,Total_Goals
0,Brighton & Hove Albion,21
1,Newcastle United,20
2,Aston Villa,19
3,Liverpool,18
4,Tottenham Hotspur,18
5,Manchester City,17
6,Arsenal,16
7,West Ham United,15
8,Brentford,11
9,Chelsea,11
