,SavesName,SavesClub,SavesNationality,SavesStat
0,Wes Foderingham,Sheffield United,England,45
1,José Sá,Wolverhampton Wanderers,Portugal,36
2,Neto,Bournemouth,Brazil,36
3,Alphonse Areola,West Ham United,France,33
4,Alisson Becker,Liverpool,Brazil,31
5,Bernd Leno,Fulham,Germany,31
6,Guglielmo Vicario,Tottenham Hotspur,Italy,29
7,James Trafford,Burnley,England,28
8,André Onana,Manchester United,Cameroon,27
9,Thomas Kaminski,Luton Town,Belgium,25
