,YellowName,YellowClub,YellowNationality,Cards
0,Anthony Gordon,Newcastle United,England,5
1,Aaron Hickey,Brentford,Scotland,5
2,Nicolas Jackson,Chelsea,Senegal,5
3,Edson Álvarez,West Ham United,Mexico,4
4,Yves Bissouma,Tottenham Hotspur,Mali,4
5,Nélson Semedo,Wolverhampton Wanderers,Portugal,4
6,Lucas Digne,Aston Villa,France,4
7,Bruno Guimarães,Newcastle United,Brazil,4
8,Mario Lemina,Wolverhampton Wanderers,Gabon,4
9,Emerson,West Ham United,Italy,4
