Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Tottenham ,8,6,2,0,18,8,10,20
2,Arsenal,8,6,2,0,16,6,10,20
3,Manchester City ,8,6,0,2,17,6,11,18
4,Liverpool,8,5,2,1,18,9,9,17
5,Aston Villa,8,5,1,2,19,12,7,16
6,Brighton and Hove Albion,8,5,1,2,21,16,5,16
7,West Ham ,8,4,3,2,15,12,3,14
8,New Castle ,8,4,1,3,20,9,11,13
9,Crystal Palace ,8,3,3,2,7,7,0,12
10,Manchester United  ,8,4,0,4,9,12,-3,12
,,,,,,,,,
